asset_id,title,maker,date,institution,accession,canonical_record,direct_image,license,rights_policy,verified_on,disposition,transformation,claim_ids
MET-82433,Corset,Maison Léoty,1891,The Metropolitan Museum of Art,"C.I.45.27a, b",https://www.metmuseum.org/art/collection/search/82433,https://images.metmuseum.org/CRDImages/ci/original/DT200606.jpg,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-08-29,remote display + download permitted,none,C01
MET-173652,Corset,Royal Worcester Corset Company,ca. 1872,The Metropolitan Museum of Art,"2009.300.6638a, b",https://www.metmuseum.org/art/collection/search/173652,https://collectionapi.metmuseum.org/api/collection/v1/iiif/173652/373744/main-image,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-09-07,remote display + download permitted,none,C01
MET-158256,Corset,Maker unknown,1740–60,The Metropolitan Museum of Art,2009.300.3330,https://www.metmuseum.org/art/collection/search/158256,https://collectionapi.metmuseum.org/api/collection/v1/iiif/158256/335760/main-image,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-09-07,remote display + download permitted,none,C01
MET-626019,Costume Armor and Sword in the Classical Style,Hallé,ca. 1788–90,The Metropolitan Museum of Art,"1988.65.1–.2; 1995.93a, b",https://www.metmuseum.org/art/collection/search/626019,https://images.metmuseum.org/CRDImages/aa/original/DT5896.jpg,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-08-29,remote display + download permitted,none,C04
MET-227647,Glove,Maker unknown,ca. 1600,The Metropolitan Museum of Art,53.134,https://www.metmuseum.org/art/collection/search/227647,https://collectionapi.metmuseum.org/api/collection/v1/iiif/227647/465913/main-image,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-09-07,remote display + download permitted,none,context
MET-717582,Hat,Tlingit woman artist,ca. 1830,"The Metropolitan Museum of Art, The American Wing",2022.428.5,https://www.metmuseum.org/art/collection/search/717582,https://collectionapi.metmuseum.org/api/collection/v1/iiif/717582/1770354/main-image,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-09-07,remote display + download permitted,none,C04
MET-436533,Shoes,Vincent van Gogh,1888,The Metropolitan Museum of Art,1992.374,https://www.metmuseum.org/art/collection/search/436533,https://images.metmuseum.org/CRDImages/ep/original/DT1947.jpg,CC0,https://www.metmuseum.org/policies/terms-and-conditions#openaccess,2026-08-29,remote display + download permitted,none,context
