asset_id,title,creator,institution,date,rights,disposition,canonical_url,direct_file,credit
M23205,Armor,Unknown Italian armorer,The Metropolitan Museum of Art,ca. 1400–1450 and later,Public Domain/CC0,display and download,https://www.metmuseum.org/art/collection/search/23205,https://images.metmuseum.org/CRDImages/aa/original/DP-46028-001.jpg,"The Metropolitan Museum of Art; Public Domain"
M27790,Portions of a Costume Armor,Kolman Helmschmid,The Metropolitan Museum of Art,ca. 1525,Public Domain/CC0,display and download,https://www.metmuseum.org/art/collection/search/27790,https://images.metmuseum.org/CRDImages/aa/original/DP-22969-001.jpg,"The Metropolitan Museum of Art; Public Domain"
M22001,Field Armor,Unknown Nuremberg armorer,The Metropolitan Museum of Art,ca. 1525 and later,Public Domain/CC0,display and download,https://www.metmuseum.org/art/collection/search/22001,https://images.metmuseum.org/CRDImages/aa/original/DP341737.jpg,"The Metropolitan Museum of Art; Public Domain"
M24671,"Armor of Henry II, King of France","Jean Cousin the Elder; possibly Baptiste Pellerin",The Metropolitan Museum of Art,ca. 1555,Public Domain/CC0,display and download,https://www.metmuseum.org/art/collection/search/24671,https://images.metmuseum.org/CRDImages/aa/original/DP256970.jpg,"The Metropolitan Museum of Art; Public Domain"
M22020,Armor (Gusoku),Unknown Japanese armorer,The Metropolitan Museum of Art,19th century,Public Domain/CC0,display and download,https://www.metmuseum.org/art/collection/search/22020,https://images.metmuseum.org/CRDImages/aa/original/DP264123.jpg,"The Metropolitan Museum of Art; Public Domain"
EDU001,Nick Cave's Soundsuits,Smarthistory contributors,Smarthistory,n.d.,Third-party educational page,link only,https://smarthistory.org/nick-caves-soundsuits/,,"Link to Smarthistory; no media copied"
EDU002,Chalcis Group audio interpretation,The Metropolitan Museum of Art,The Metropolitan Museum of Art,n.d.,On-page museum audio,link only,https://www.metmuseum.org/art/collection/search/23205,,"Listen at The Met; audio not copied"
